Comment,Designator,Footprint,LCSC Part #
1K,R8,R0805,
1N4148WSF-7,D5,SOD-323F,
1k,R4 R6,R0805,
10k,R9 R18,R0805,
10n,C7 C8,C0805K,
18p,C9 C10,C0805K,
20mhz,Y1,CRYSTAL-SMD-5X3.2-2PAD,
22k,R2,R0805,
22uf,C1 C2 C5,PANASONIC_C,
100k,R10 R11 R12 R13 R14 R15 R16 R17,R0805,
100n,C6 C11 C12,C0805K,
470,R1 R3 R5 R7,R0805,
470n,C3,C0805K,
ATMEGA328P,IC1,TQFP32-08,
BAT54CLT1G,D4,SOT23-3,
BAT54SLT1G,D1 D2 D3,SOT23,
FIDUCIAL1X2,FD1 FD2 FD3,FIDUCIAL-1X2,
LM4040.....,IC2,DBZ_R-PDSO-G3,
MB1S,B1,SOIC-4,
MCP6002_,IC4,SO08,
REG1117,IC3,SOT223,
